xl, fl 
6.20465, 0
6.17323, 0
6.14181, 0
6.1104, 0
6.07898, 0
6.04757, 0
6.01615, 0
5.98473, 0
5.95332, 0
5.9219, 0
5.89049, 0
5.85907, 0
5.82765, 0
5.79624, 0
5.76482, 0
5.73341, 0
5.70199, 0
5.67058, 0
5.63916, 0
5.60774, 0
5.57633, 0
5.54491, 0
5.5135, 0
5.48208, 0
5.45066, 0
5.41925, 0
5.38783, 0
5.35642, 0
5.325, 0
5.29358, 0
5.26217, 0
5.23075, 0
5.19934, 0
5.16792, 0
5.1365, 0
5.10509, 0
5.07367, 0
5.04226, 0
5.01084, 0
4.97942, 0
4.94801, 0
4.91659, 0
4.88518, 0
4.85376, 0
4.82234, 0
4.79093, 0
4.75951, 0
4.7281, 0
4.69668, 0
4.66527, 0
4.63385, 0
4.60243, 0
4.57102, 0
4.5396, 0
4.50819, 0
4.47677, 0
4.44535, 0
4.41394, 0
4.38252, 0
4.35111, 0
4.31969, 0
4.28827, 0
4.25686, 0
4.22544, 0
4.19403, 0
4.16261, 0
4.13119, 0
4.09978, 0
4.06836, 0
4.03695, 0
4.00553, 0
3.97411, 0
3.9427, 0
3.91128, 0
3.87987, 0
3.84845, 0
3.81704, 0
3.78562, 0
3.7542, 0
3.72279, 0
3.69137, 0
3.65996, 0
3.62854, 0
3.59712, 0
3.56571, 0
3.53429, 0
3.50288, 0
3.47146, 0
3.44004, 0
3.40863, 0
3.37721, 0
3.3458, 0
3.31438, 0
3.28296, 0
3.25155, 0
3.22013, 0
3.18872, 0
3.1573, 0
3.12588, 0
3.09447, 0
3.06305, 0
3.03164, 0
3.00022, 0
2.96881, 0
2.93739, 0
2.90597, 0
2.87456, 0
2.84314, 0
2.81173, 0
2.78031, 0
2.74889, 0
2.71748, 0
2.68606, 0
2.65465, 0
2.62323, 0
2.59181, 0
2.5604, 0
2.52898, 0
2.49757, 0
2.46615, 0
2.43473, 0
2.40332, -4.01785e-14
2.3719, 1.305e-12
2.34049, 1
2.30907, 1
2.27765, 1
2.24624, 1
2.21482, 1
2.18341, 1
2.15199, 1
2.12058, 1
2.08916, 1
2.05774, 1
2.02633, 1
1.99491, 1
1.9635, 1
1.93208, 1
1.90066, 1
1.86925, 1
1.83783, 1
1.80642, 1
1.775, 1
1.74358, 1
1.71217, 1
1.68075, 1
1.64934, 1
1.61792, 1
1.5865, 1
1.55509, 1
1.52367, 1
1.49226, 1
1.46084, 1
1.42942, 1
1.39801, 1
1.36659, 1
1.33518, 1
1.30376, 1
1.27235, 1
1.24093, 1
1.20951, 1
1.1781, 1
1.14668, 1
1.11527, 1
1.08385, 1
1.05243, 1
1.02102, 1
0.989602, 1
0.958186, 1
0.92677, 1
0.895354, 1
0.863938, 1
0.832522, 1
0.801106, 1
0.76969, 1
0.738274, -1.8625e-13
0.706858, 3.33333e-15
0.675442, 0
0.644027, 0
0.612611, 0
0.581195, 0
0.549779, 0
0.518363, 0
0.486947, 0
0.455531, 0
0.424115, 0
0.392699, 0
0.361283, 0
0.329867, 0
0.298451, 0
0.267035, 0
0.235619, 0
0.204204, 0
0.172788, 0
0.141372, 0
0.109956, 0
0.0785398, 0
